#Hidden Layers, Hidden Layer Size, Reguralization Constant, #Epoch,Training Accuracy,Test Accuracy
1,1000,0,40,80.3370786517,33.6734693878
1,1000,0.01,40,68.4269662921,34.693877551
1,1000,0.03,40,73.7078651685,42.8571428571
1,1000,0.1,40,62.4719101124,44.8979591837
1,1000,0.3,40,69.7752808989,35.7142857143
1,1000,1,40,65.7303370787,,37.7551020408
2,1000,0,40,63.0337078652,44.8979591837
2,1000,0.01,40,73.9325842697,51.0204081633
2,1000,0.03,40,68.6516853933,40.8163265306
2,1000,0.1,40,67.5280898876,44.8979591837
2,1000,0.3,40,77.3033707865,42.8571428571
2,1000,1,40,18.202247191,12.2448979592
3,1000,0,40,60.4494382022,35.7142857143
3,1000,0.01,40,62.808988764,42.8571428571
3,1000,0.03,40,66.0674157303,34.693877551
3,1000,0.1,40,68.4269662921,51.0204081633
3,1000,0.3,40,64.2696629213,38.7755102041
3,1000,1,40,34.0449438202,19.387755102
4,1000,0,40,57.4157303371,32.6530612245
4,1000,0.01,40,18.4269662921,20.4081632653
4,1000,0.03,40,60.5617977528,36.7346938776
4,1000,0.1,40,50.7865168539,33.6734693878
4,1000,0.3,40,15.8426966292,11.2244897959
4,1000,1,40,19.1011235955,19.387755102
